epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
76,6063.41,0.50497,3.0587,0.17473,0.35736,0.01267,0.47989,0.97513,0.974,0.99068,0.8609,0.88677,0.85735,0.86133,0.72171,0.41191,2.29643,0.04577,0.22964,0.01362,0,0.000309964,0.000309964,0.000309964
77,6257.93,0.5022,3.03411,0.17362,0.35329,0.01268,0.48989,0.97633,0.97311,0.99071,0.86203,0.88941,0.85778,0.86273,0.72235,0.41151,2.29255,0.04561,0.22893,0.01361,0,0.000288321,0.000288321,0.000288321
78,6454.2,0.49744,3.00712,0.17252,0.3541,0.01248,0.44595,0.97561,0.97356,0.99076,0.86215,0.88685,0.85944,0.86337,0.72319,0.41131,2.28886,0.04542,0.2285,0.01361,0,0.00026739,0.00026739,0.00026739
79,6649.61,0.50109,3.03554,0.17472,0.35097,0.01252,0.45445,0.97655,0.97184,0.99074,0.86205,0.88706,0.85931,0.8642,0.72345,0.41044,2.28353,0.04534,0.22911,0.01357,0,0.000247192,0.000247192,0.000247192
80,6846.39,0.50015,3.01312,0.17056,0.35187,0.01251,0.4438,0.97672,0.97329,0.99086,0.86221,0.88972,0.8588,0.86442,0.72364,0.41024,2.28026,0.04523,0.22738,0.01357,0,0.000227747,0.000227747,0.000227747
81,7041.37,0.49484,2.9863,0.17193,0.34783,0.01237,0.42234,0.9766,0.97325,0.99085,0.86187,0.88857,0.8597,0.86472,0.72371,0.40988,2.27692,0.04503,0.22728,0.01355,0,0.000209073,0.000209073,0.000209073
82,7236.44,0.49449,2.96389,0.17094,0.34566,0.01248,0.43194,0.97672,0.97317,0.99079,0.86234,0.88833,0.86033,0.86498,0.72385,0.40926,2.27332,0.04489,0.22713,0.01352,0,0.00019119,0.00019119,0.00019119
83,7432.2,0.49197,2.94775,0.17027,0.34816,0.01228,0.39246,0.97729,0.97375,0.99078,0.86258,0.88935,0.86084,0.86512,0.72434,0.4089,2.26929,0.04474,0.22674,0.01351,0,0.000174115,0.000174115,0.000174115
84,7627.1,0.49016,2.94089,0.17081,0.348,0.01227,0.40247,0.97643,0.97413,0.99088,0.86269,0.89112,0.85969,0.86527,0.72457,0.40854,2.26626,0.04462,0.22656,0.01349,0,0.000157865,0.000157865,0.000157865
85,7822.4,0.49349,2.97002,0.16855,0.34746,0.01238,0.41569,0.97581,0.97426,0.99094,0.86232,0.8882,0.86059,0.86541,0.72495,0.40812,2.26204,0.0445,0.22658,0.01348,0,0.000142456,0.000142456,0.000142456
86,8017.74,0.48691,2.86583,0.16771,0.34423,0.01221,0.35159,0.97624,0.97377,0.99098,0.86363,0.88105,0.86887,0.86586,0.72541,0.40761,2.25826,0.04439,0.22655,0.01346,0,0.000127904,0.000127904,0.000127904
87,8214.68,0.49399,2.9319,0.16869,0.34739,0.01227,0.39224,0.97748,0.97365,0.99093,0.8637,0.88945,0.86135,0.86599,0.72597,0.40708,2.25379,0.04426,0.22671,0.01343,0,0.000114221,0.000114221,0.000114221
88,8409.77,0.49025,2.90915,0.16851,0.34318,0.01226,0.36533,0.97753,0.97362,0.9908,0.86368,0.89092,0.86084,0.86611,0.72557,0.40644,2.25,0.04411,0.22678,0.01341,0,0.000101423,0.000101423,0.000101423
89,8606.25,0.49111,2.88757,0.16926,0.34763,0.0123,0.37842,0.97682,0.97413,0.99082,0.86385,0.89224,0.86033,0.86609,0.72624,0.40609,2.24681,0.04403,0.22644,0.0134,0,8.95213e-05,8.95213e-05,8.95213e-05
90,8801.59,0.48522,2.85152,0.16804,0.34107,0.01218,0.35253,0.97664,0.97497,0.99092,0.86411,0.89092,0.86135,0.86641,0.72643,0.40563,2.24372,0.04387,0.22547,0.01338,0,7.8528e-05,7.8528e-05,7.8528e-05
91,9024.36,0.41579,2.16912,0.08259,0.23366,0.01459,1.01109,0.97715,0.97534,0.99106,0.86439,0.89307,0.86097,0.86653,0.72672,0.40532,2.24148,0.04367,0.22492,0.01337,0,6.8454e-05,6.8454e-05,6.8454e-05
92,9218.13,0.4067,2.1207,0.07714,0.22154,0.01422,0.94213,0.97703,0.97566,0.99105,0.86442,0.89295,0.86033,0.86647,0.72676,0.40477,2.23765,0.04338,0.22491,0.01335,0,5.93093e-05,5.93093e-05,5.93093e-05
93,9412.37,0.40651,2.11596,0.07847,0.2238,0.01417,0.92155,0.97646,0.97591,0.99109,0.86451,0.89331,0.85982,0.86653,0.72799,0.40447,2.23314,0.04295,0.22502,0.01333,0,5.11027e-05,5.11027e-05,5.11027e-05
94,9607.23,0.40204,2.08615,0.07547,0.22274,0.01389,0.8751,0.97642,0.97628,0.99108,0.86486,0.8912,0.86222,0.86679,0.72818,0.40384,2.23044,0.04256,0.22473,0.01331,0,4.38424e-05,4.38424e-05,4.38424e-05
95,9800.58,0.40068,2.07903,0.07478,0.22071,0.01397,0.91926,0.97729,0.97606,0.99112,0.86478,0.89466,0.86049,0.86699,0.72912,0.40331,2.22656,0.04219,0.22417,0.01329,0,3.75356e-05,3.75356e-05,3.75356e-05
96,9996.24,0.40171,2.07304,0.07375,0.22098,0.01389,0.87264,0.97666,0.97655,0.99115,0.86515,0.89458,0.86084,0.86698,0.7292,0.40276,2.22243,0.04185,0.2242,0.01327,0,3.21885e-05,3.21885e-05,3.21885e-05
97,10189.6,0.39949,2.07354,0.07379,0.22062,0.01376,0.85043,0.97678,0.97642,0.99113,0.86558,0.89146,0.86377,0.86704,0.72937,0.40245,2.21953,0.04146,0.22394,0.01326,0,2.78064e-05,2.78064e-05,2.78064e-05
98,10385,0.39727,2.05327,0.07508,0.21599,0.01372,0.8243,0.97678,0.97571,0.99111,0.86545,0.88438,0.87103,0.86702,0.73016,0.4021,2.21572,0.04113,0.22481,0.01324,0,2.43937e-05,2.43937e-05,2.43937e-05
99,10578.3,0.3991,2.05886,0.07348,0.21792,0.01387,0.86174,0.97421,0.97709,0.99108,0.86592,0.88635,0.86938,0.86721,0.73094,0.40132,2.21138,0.04077,0.22449,0.01322,0,2.19535e-05,2.19535e-05,2.19535e-05
100,10773.4,0.39855,2.06139,0.07419,0.21784,0.01375,0.84455,0.97546,0.97748,0.99107,0.86647,0.88659,0.87074,0.86742,0.73113,0.40091,2.20804,0.0404,0.22368,0.0132,0,2.04885e-05,2.04885e-05,2.04885e-05
